,file_date,phu_name,phu_num,active_cases,resolved_cases,deaths,Reporting_PHU_ID,confirmed
0,2020-04-01,ALGOMA DISTRICT,2226.0,4,1,0,2226.0,1.0
1,2020-04-01,BRANT COUNTY,2227.0,10,5,0,2227.0,12.0
2,2020-04-01,CHATHAM-KENT,2240.0,6,2,0,2240.0,1.0
3,2020-04-01,CITY OF HAMILTON,2237.0,54,48,0,2237.0,12.0
4,2020-04-01,CITY OF OTTAWA,2251.0,136,55,0,2251.0,37.0
5,2020-04-01,DURHAM REGION,2230.0,94,44,0,2230.0,27.0
6,2020-04-01,EASTERN ONTARIO,2258.0,10,8,0,2258.0,3.0
7,2020-04-01,GREY BRUCE,2233.0,5,7,0,2233.0,2.0
8,2020-04-01,HALDIMAND-NORFOLK,2234.0,22,2,0,2234.0,19.0
9,2020-04-01,"HALIBURTON, KAWARTHA, PINE RIDGE",2235.0,43,17,0,2235.0,1.0
10,2020-04-01,HALTON REGION,2236.0,35,29,0,2236.0,28.0
11,2020-04-01,HASTINGS & PRINCE EDWARD COUNTIES,2238.0,5,4,0,2238.0,2.0
12,2020-04-01,HURON PERTH,5183.0,8,2,0,5183.0,1.0
13,2020-04-01,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241.0,39,5,0,0.0,0.0
14,2020-04-01,LAMBTON COUNTY,2242.0,38,5,0,2242.0,8.0
15,2020-04-01,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243.0,23,2,0,2243.0,4.0
16,2020-04-01,MIDDLESEX-LONDON,2244.0,44,11,0,2244.0,12.0
17,2020-04-01,NIAGARA REGION,2246.0,28,23,0,2246.0,22.0
18,2020-04-01,NORTH BAY PARRY SOUND DISTRICT,2247.0,1,3,0,0.0,0.0
19,2020-04-01,NORTHWESTERN,2249.0,1,2,0,0.0,0.0
20,2020-04-01,OXFORD ELGIN-ST.THOMAS,4913.0,6,3,0,4913.0,3.0
21,2020-04-01,PEEL REGION,2253.0,234,54,0,2253.0,52.0
22,2020-04-01,PETERBOROUGH COUNTY-CITY,2255.0,22,6,0,2255.0,6.0
23,2020-04-01,PORCUPINE,2256.0,10,5,0,2256.0,3.0
24,2020-04-01,RENFREW COUNTY AND DISTRICT,2257.0,3,1,0,0.0,0.0
25,2020-04-01,SIMCOE MUSKOKA DISTRICT,2260.0,38,16,0,2260.0,7.0
26,2020-04-01,SUDBURY AND DISTRICT,2261.0,6,4,0,2261.0,5.0
27,2020-04-01,THUNDER BAY DISTRICT,2262.0,4,0,0,0.0,0.0
28,2020-04-01,TIMISKAMING,2263.0,0,2,0,2263.0,1.0
29,2020-04-01,TORONTO,3895.0,430,205,0,3895.0,93.0
30,2020-04-01,WATERLOO REGION,2265.0,67,38,0,2265.0,14.0
31,2020-04-01,WELLINGTON-DUFFERIN-GUELPH,2266.0,35,7,0,2266.0,8.0
32,2020-04-01,WINDSOR-ESSEX COUNTY,2268.0,30,6,0,2268.0,25.0
33,2020-04-01,YORK REGION,2270.0,212,67,0,2270.0,45.0
34,2020-04-02,ALGOMA DISTRICT,2226.0,4,1,0,0.0,0.0
35,2020-04-02,BRANT COUNTY,2227.0,13,7,0,2227.0,6.0
36,2020-04-02,CHATHAM-KENT,2240.0,6,3,0,0.0,0.0
